id,game_id,series_id,round_number,player_id,player_name,team_id,agent,agent_role,side,kills,deaths,assists,headshots,alive_at_end,current_health,current_armor,clutch_situation
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,290,Victor,97,cypher,Sentinel,defender,0,0,0,0,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,45,liazzi,99,viper,Controller,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,57,mwzera,99,jett,Duelist,attacker,0,1,0,0,false,0,31,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,19,kon4n,99,sova,Initiator,attacker,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,3314,havoc,99,kay/o,Initiator,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,51,Khalil,99,cypher,Sentinel,attacker,1,1,2,1,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,11334,Demon1,97,jett,Duelist,defender,1,0,0,0,true,37,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,292,Marved,97,viper,Controller,defender,1,1,0,1,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,297,Ethan,97,kay/o,Initiator,defender,1,0,0,0,true,86,23,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,291,crashies,97,sova,Initiator,defender,2,0,2,1,true,30,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,290,Victor,97,cypher,Sentinel,defender,0,0,0,0,true,92,35,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,45,liazzi,99,viper,Controller,attacker,0,0,0,0,true,100,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,57,mwzera,99,jett,Duelist,attacker,3,0,1,3,true,83,16,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,19,kon4n,99,sova,Initiator,attacker,0,1,0,0,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,3314,havoc,99,kay/o,Initiator,attacker,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,51,Khalil,99,cypher,Sentinel,attacker,2,0,1,2,true,88,1,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,11334,Demon1,97,jett,Duelist,defender,1,1,0,1,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,292,Marved,97,viper,Controller,defender,1,1,1,2,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,297,Ethan,97,kay/o,Initiator,defender,0,1,0,0,false,0,16,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,291,crashies,97,sova,Initiator,defender,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,290,Victor,97,cypher,Sentinel,defender,0,1,0,0,false,0,50,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,45,liazzi,99,viper,Controller,defender,3,0,0,3,true,20,0,false
