game_id,series_id,map_name,team_id,team_name,composition,duelist_count,controller_count,sentinel_count,initiator_count
00c5b440-eee3-423b-a01c-954a8c96a7c7,2681824,bind,3412,LOUD (1),"brimstone,omen,neon,gekko,skye",1,2,0,2
b61a19fd-daf2-4abf-b8db-3261720636fc,2843064,haven,1611,Leviatán Esports,"omen,neon,yoru,sova,cypher",2,1,1,1
e4743d6a-8122-4d99-8063-a257db0ca552,2819678,ascent,53367,2GAME eSports,"omen,jett,kay/o,sova,cypher",1,1,1,2
9c95a847-ca63-4511-96f7-abbd348c0d9f,2819681,lotus,96,G2 Esports,"omen,viper,yoru,fade,tejo",1,2,0,2
e1afa88b-cb82-48af-a34c-9473c57a2bcc,2819689,lotus,97,NRG,"omen,viper,raze,fade,vyse",1,2,1,1
ccdb5ba5-1d12-4531-b9e4-468847256454,2819689,icebox,1611,Leviatán Esports,"viper,jett,sova,killjoy,sage",1,1,2,1
beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,2819700,sunset,97,NRG,"omen,raze,breach,sova,cypher",1,1,1,2
711ae558-0054-4127-96ef-65de99d99673,2629396,split,1079,Sentinels,"omen,viper,raze,skye,cypher",1,2,1,1
39ed5c37-3b48-40f6-a7e5-f47dd433ce3d,2748745,lotus,53367,2GAME eSports,"omen,raze,breach,tejo,vyse",1,1,1,2
7c6d677a-1429-4e83-af6c-539ff3ea762b,2748746,fracture,97,NRG,"brimstone,raze,breach,sova,killjoy",1,1,1,2
67293f23-ec04-4774-a105-9fcb6afdca81,2748746,lotus,79,Cloud9,"omen,raze,breach,tejo,deadlock",1,1,1,2
5f11d22a-f433-4b50-99ca-c3f7dfc98f28,2748749,haven,99,FURIA,"omen,jett,breach,sova,cypher",1,1,1,2
968b7d65-6966-4c62-8cbb-da1fa4d2aa2c,2748763,pearl,96,G2 Esports,"astra,yoru,sova,chamber,vyse",1,1,2,1
75c3d8a2-3095-40b8-8cbe-a48dc5844788,2653970,breeze,97,NRG,"viper,jett,yoru,sova,cypher",2,1,1,1
40be6139-32f9-4bff-9cef-14aed306f587,2653974,breeze,99,FURIA,"viper,jett,kay/o,sova,cypher",1,1,1,2
0ca44b38-54c7-433b-8c67-d3edf7991274,2653978,split,99,FURIA,"omen,viper,raze,yoru,skye",2,2,0,1
751ec5c5-e3bf-4e5d-8257-415f902b2c90,2653980,lotus,1079,Sentinels,"omen,viper,raze,fade,killjoy",1,2,1,1
70c15445-5f84-4c36-a44a-af848f6b8ae1,2653982,lotus,281,Evil Geniuses,"omen,viper,raze,fade,cypher",1,2,1,1
4ec0f1c0-dfbf-4533-8f86-5c7e8673e7ed,2653984,lotus,96,G2 Esports,"omen,viper,raze,fade,killjoy",1,2,1,1
2e8e786e-d906-49c1-b5c3-a76592fe78cb,2653984,icebox,99,FURIA,"omen,viper,gekko,kay/o,killjoy",0,2,1,2
a6da2cbb-8bbd-43bf-9225-8edc4ca9fc4a,2653985,ascent,79,Cloud9,"omen,jett,kay/o,sova,cypher",1,1,1,2
239fa10b-4e58-48c1-97c0-edeb9cc0b720,2775992,split,96,G2 Esports,"omen,viper,yoru,breach,tejo",1,2,0,2
4ce1599c-dbee-4be0-a0ce-16fdcb7f6adf,2775992,pearl,96,G2 Esports,"astra,yoru,fade,tejo,vyse",1,1,1,2
a722e7c7-3ede-48f7-b427-703c95befcc3,2775993,ascent,81,MIBR (1),"omen,jett,kay/o,tejo,vyse",1,1,1,2
df086c97-482f-4af5-8575-e667403e9a55,2775981,pearl,281,Evil Geniuses,"astra,jett,yoru,tejo,vyse",2,1,1,1
c107f7a8-39a2-478d-92d7-afc4e89a7f1c,2775962,ascent,81,MIBR (1),"omen,jett,kay/o,sova,cypher",1,1,1,2
1f2900ac-deff-4f20-a343-9ca46a1a8f2e,2775969,ascent,1611,Leviatán Esports,"omen,waylay,kay/o,tejo,vyse",1,1,1,2
7aed6afc-c5e8-4a5a-b87f-d5659ba7acb0,2775973,lotus,99,FURIA,"clove,omen,neon,breach,fade",1,2,0,2
2f818e02-6a0f-4516-88e2-25e136a0966e,2775973,pearl,79,Cloud9,"astra,jett,yoru,sova,cypher",2,1,1,1
77e06cdf-1533-4c85-8bd6-f1521e5d6e95,2681841,ascent,1079,Sentinels,"omen,jett,sova,cypher,deadlock",1,1,2,1
e2a04da4-a190-4576-92f3-35eb2933b8af,2681842,sunset,48457,KRÜ Esports,"omen,neon,breach,sova,cypher",1,1,1,2
