team_id,team_name,map_name,games_played,wins,losses,win_rate,rounds_won,rounds_lost,round_diff_ratio
1079,Sentinels,,2,2,0,100.0,,,
53367,2GAME eSports,,3,1,2,33.3,,,
1611,Leviatán Esports,icebox,1,0,1,0.0,11,13,0.85
337,100 Thieves,corrode,1,1,0,100.0,13,4,3.25
1611,Leviatán Esports,ascent,1,1,0,100.0,13,4,3.25
1079,Sentinels,abyss,1,1,0,100.0,13,9,1.44
1079,Sentinels,fracture,1,0,1,0.0,5,13,0.38
96,G2 Esports,bind,1,0,1,0.0,9,13,0.69
96,G2 Esports,split,1,0,1,0.0,8,13,0.62
97,NRG,breeze,1,1,0,100.0,13,3,4.33
1079,Sentinels,ascent,1,1,0,100.0,13,9,1.44
96,G2 Esports,ascent,1,1,0,100.0,13,8,1.63
99,FURIA,pearl,1,0,1,0.0,1,13,0.08
48457,KRÜ Esports,sunset,1,1,0,100.0,13,7,1.86
81,MIBR (1),ascent,1,0,1,0.0,9,13,0.69
99,FURIA,icebox,1,1,0,100.0,14,12,1.17
1611,Leviatán Esports,haven,1,1,0,100.0,13,10,1.3
281,Evil Geniuses,ascent,1,1,0,100.0,13,9,1.44
1079,Sentinels,ascent,1,0,1,0.0,6,13,0.46
53367,2GAME eSports,haven,1,0,1,0.0,5,13,0.38
81,MIBR (1),icebox,1,1,0,100.0,13,10,1.3
3412,LOUD (1),ascent,1,0,1,0.0,4,13,0.31
1611,Leviatán Esports,haven,1,1,0,100.0,13,10,1.3
3412,LOUD (1),sunset,1,1,0,100.0,13,2,6.5
3412,LOUD (1),lotus,1,0,1,0.0,12,14,0.86
1079,Sentinels,,5,3,2,60.0,,,
53367,2GAME eSports,lotus,1,0,1,0.0,5,13,0.38
97,NRG,lotus,1,0,1,0.0,10,13,0.77
337,100 Thieves,split,1,1,0,100.0,13,4,3.25
79,Cloud9,lotus,1,0,1,0.0,6,13,0.46
337,100 Thieves,sunset,1,0,1,0.0,12,14,0.86
337,100 Thieves,bind,1,0,1,0.0,8,13,0.62
96,G2 Esports,icebox,1,1,0,100.0,13,3,4.33
1079,Sentinels,icebox,1,1,0,100.0,13,10,1.3
1079,Sentinels,lotus,1,1,0,100.0,13,3,4.33
96,G2 Esports,lotus,1,1,0,100.0,13,3,4.33
79,Cloud9,ascent,1,0,1,0.0,6,13,0.46
1079,Sentinels,lotus,1,1,0,100.0,13,10,1.3
96,G2 Esports,bind,1,0,1,0.0,11,13,0.85
1079,Sentinels,,2,0,2,0.0,,,
3412,LOUD (1),,2,0,2,0.0,,,
337,100 Thieves,,2,2,0,100.0,,,
281,Evil Geniuses,lotus,1,0,1,0.0,11,13,0.85
96,G2 Esports,lotus,1,1,0,100.0,13,10,1.3
3412,LOUD (1),icebox,1,0,1,0.0,11,13,0.85
97,NRG,sunset,1,0,1,0.0,12,14,0.86
79,Cloud9,corrode,1,0,1,0.0,10,13,0.77
1611,Leviatán Esports,ascent,1,0,1,0.0,10,13,0.77
48457,KRÜ Esports,lotus,1,0,1,0.0,7,13,0.54
48457,KRÜ Esports,haven,1,0,1,0.0,5,13,0.38
81,MIBR (1),sunset,1,1,0,100.0,13,10,1.3
81,MIBR,ascent,1,1,0,100.0,13,9,1.44
1079,Sentinels,,3,2,1,66.7,,,
1079,Sentinels,split,1,0,1,0.0,9,13,0.69
79,Cloud9,lotus,1,0,1,0.0,6,13,0.46
1611,Leviatán Esports,lotus,1,0,1,0.0,6,13,0.46
97,NRG,split,1,1,0,100.0,13,2,6.5
79,Cloud9,sunset,1,1,0,100.0,13,8,1.63
48457,KRÜ Esports,lotus,1,1,0,100.0,13,5,2.6
1079,Sentinels,,2,2,0,100.0,,,
337,100 Thieves,haven,1,1,0,100.0,13,11,1.18
96,G2 Esports,ascent,1,1,0,100.0,13,10,1.3
1611,Leviatán Esports,split,1,0,1,0.0,7,13,0.54
79,Cloud9,ascent,1,1,0,100.0,13,3,4.33
79,Cloud9,pearl,1,1,0,100.0,13,9,1.44
79,Cloud9,lotus,1,0,1,0.0,13,15,0.87
1611,Leviatán Esports,lotus,1,0,1,0.0,10,13,0.77
1611,Leviatán Esports,fracture,1,1,0,100.0,13,11,1.18
337,100 Thieves,lotus,1,0,1,0.0,5,13,0.38
3412,LOUD (1),ascent,1,1,0,100.0,13,7,1.86
79,Cloud9,split,1,0,1,0.0,10,13,0.77
1611,Leviatán Esports,haven,1,1,0,100.0,13,8,1.63
97,NRG,,3,0,3,0.0,,,
281,Evil Geniuses,lotus,1,1,0,100.0,13,11,1.18
97,NRG,corrode,1,1,0,100.0,13,9,1.44
337,100 Thieves,split,1,1,0,100.0,13,3,4.33
337,100 Thieves,split,1,0,1,0.0,8,13,0.62
99,FURIA,haven,1,0,1,0.0,8,13,0.62
81,MIBR (1),abyss,1,0,1,0.0,5,13,0.38
1611,Leviatán Esports,icebox,1,1,0,100.0,13,11,1.18
337,100 Thieves,,3,2,1,66.7,,,
96,G2 Esports,ascent,1,1,0,100.0,13,7,1.86
96,G2 Esports,pearl,1,1,0,100.0,13,11,1.18
3412,LOUD (1),icebox,1,0,1,0.0,6,13,0.46
1079,Sentinels,,2,2,0,100.0,,,
81,MIBR,split,1,1,0,100.0,13,8,1.63
281,Evil Geniuses,split,1,0,1,0.0,12,14,0.86
281,Evil Geniuses,pearl,1,0,1,0.0,10,13,0.77
81,MIBR (1),,2,2,0,100.0,,,
48457,KRÜ Esports,split,1,0,1,0.0,11,13,0.85
96,G2 Esports,ascent,1,1,0,100.0,13,8,1.63
337,100 Thieves,icebox,1,1,0,100.0,13,10,1.3
1611,Leviatán Esports,lotus,1,0,1,0.0,10,13,0.77
337,100 Thieves,fracture,1,1,0,100.0,13,5,2.6
79,Cloud9,icebox,1,0,1,0.0,13,15,0.87
48457,KRÜ Esports,lotus,1,0,1,0.0,12,14,0.86
96,G2 Esports,haven,1,1,0,100.0,13,4,3.25
1079,Sentinels,split,1,1,0,100.0,13,11,1.18
281,Evil Geniuses,lotus,1,1,0,100.0,13,9,1.44
337,100 Thieves,ascent,1,0,1,0.0,11,13,0.85
81,MIBR (1),icebox,1,0,1,0.0,7,13,0.54
79,Cloud9,,2,2,0,100.0,,,
79,Cloud9,haven,1,1,0,100.0,13,5,2.6
1611,Leviatán Esports,bind,1,1,0,100.0,13,10,1.3
81,MIBR (1),haven,1,0,1,0.0,9,13,0.69
81,MIBR,split,1,1,0,100.0,13,9,1.44
96,G2 Esports,pearl,1,1,0,100.0,13,7,1.86
1079,Sentinels,split,1,1,0,100.0,13,4,3.25
1079,Sentinels,lotus,1,0,1,0.0,17,19,0.89
79,Cloud9,fracture,1,0,1,0.0,9,13,0.69
81,MIBR (1),lotus,1,1,0,100.0,13,8,1.63
96,G2 Esports,split,1,1,0,100.0,13,10,1.3
48457,KRÜ Esports,fracture,1,0,1,0.0,3,13,0.23
281,Evil Geniuses,pearl,1,0,1,0.0,6,13,0.46
79,Cloud9,fracture,1,1,0,100.0,13,5,2.6
96,G2 Esports,ascent,1,1,0,100.0,13,6,2.17
97,NRG,icebox,1,0,1,0.0,5,13,0.38
81,MIBR (1),icebox,1,1,0,100.0,13,3,4.33
96,G2 Esports,icebox,1,1,0,100.0,13,8,1.63
337,100 Thieves,icebox,1,1,0,100.0,13,9,1.44
3412,LOUD (1),haven,1,1,0,100.0,13,11,1.18
96,G2 Esports,lotus,1,0,1,0.0,4,13,0.31
99,FURIA,sunset,1,0,1,0.0,4,13,0.31
337,100 Thieves,bind,1,1,0,100.0,13,5,2.6
1611,Leviatán Esports,icebox,1,0,1,0.0,11,13,0.85
337,100 Thieves,lotus,1,0,1,0.0,2,13,0.15
81,MIBR,bind,1,1,0,100.0,14,12,1.17
96,G2 Esports,,3,2,1,66.7,,,
81,MIBR,,2,0,2,0.0,,,
3412,LOUD (1),split,1,1,0,100.0,13,10,1.3
337,100 Thieves,bind,1,0,1,0.0,9,13,0.69
337,100 Thieves,icebox,1,1,0,100.0,13,4,3.25
337,100 Thieves,split,1,1,0,100.0,13,11,1.18
48457,KRÜ Esports,lotus,1,1,0,100.0,13,7,1.86
1079,Sentinels,icebox,1,0,1,0.0,11,13,0.85
1079,Sentinels,bind,1,1,0,100.0,13,7,1.86
79,Cloud9,lotus,1,1,0,100.0,13,9,1.44
1079,Sentinels,bind,1,0,1,0.0,11,13,0.85
79,Cloud9,,2,2,0,100.0,,,
1079,Sentinels,pearl,1,1,0,100.0,13,9,1.44
1079,Sentinels,split,1,0,1,0.0,5,13,0.38
96,G2 Esports,pearl,1,0,1,0.0,10,13,0.77
281,Evil Geniuses,haven,1,0,1,0.0,4,13,0.31
99,FURIA,ascent,1,0,1,0.0,4,13,0.31
1079,Sentinels,ascent,1,0,1,0.0,10,13,0.77
1079,Sentinels,,2,2,0,100.0,,,
97,NRG,icebox,1,0,1,0.0,10,13,0.77
79,Cloud9,lotus,1,0,1,0.0,10,13,0.77
81,MIBR (1),corrode,1,1,0,100.0,13,9,1.44
81,MIBR (1),sunset,1,0,1,0.0,3,14,0.21
337,100 Thieves,haven,1,1,0,100.0,13,10,1.3
96,G2 Esports,,3,1,2,33.3,,,
1079,Sentinels,breeze,1,0,1,0.0,9,13,0.69
97,NRG,,3,1,2,33.3,,,
81,MIBR (1),bind,1,0,1,0.0,9,13,0.69
1079,Sentinels,,3,2,1,66.7,,,
79,Cloud9,ascent,1,0,1,0.0,13,15,0.87
1611,Leviatán Esports,icebox,1,1,0,100.0,14,12,1.17
96,G2 Esports,bind,1,0,1,0.0,9,13,0.69
97,NRG,breeze,1,1,0,100.0,13,8,1.63
97,NRG,sunset,1,0,1,0.0,4,13,0.31
81,MIBR (1),icebox,1,1,0,100.0,13,5,2.6
96,G2 Esports,split,1,0,1,0.0,12,14,0.86
281,Evil Geniuses,split,1,0,1,0.0,7,13,0.54
281,Evil Geniuses,pearl,1,0,1,0.0,11,13,0.85
53367,2GAME eSports,,2,0,2,0.0,,,
1079,Sentinels,,3,2,1,66.7,,,
53367,2GAME eSports,,3,1,2,33.3,,,
97,NRG,fracture,1,1,0,100.0,13,4,3.25
96,G2 Esports,haven,1,1,0,100.0,13,11,1.18
79,Cloud9,haven,1,0,1,0.0,11,13,0.85
97,NRG,fracture,1,1,0,100.0,15,13,1.15
1079,Sentinels,haven,1,0,1,0.0,7,13,0.54
337,100 Thieves,lotus,1,0,1,0.0,11,13,0.85
48457,KRÜ Esports,abyss,1,0,1,0.0,10,13,0.77
1611,Leviatán Esports,bind,1,0,1,0.0,9,13,0.69
281,Evil Geniuses,lotus,1,1,0,100.0,13,4,3.25
3412,LOUD (1),icebox,1,0,1,0.0,10,13,0.77
3412,LOUD (1),lotus,1,0,1,0.0,11,13,0.85
281,Evil Geniuses,,3,1,2,33.3,,,
96,G2 Esports,corrode,1,0,1,0.0,10,13,0.77
96,G2 Esports,bind,1,1,0,100.0,13,7,1.86
97,NRG,,2,2,0,100.0,,,
53367,2GAME eSports,ascent,1,0,1,0.0,8,13,0.62
96,G2 Esports,,2,2,0,100.0,,,
1611,Leviatán Esports,haven,1,1,0,100.0,14,12,1.17
3412,LOUD (1),haven,1,0,1,0.0,7,13,0.54
81,MIBR (1),bind,1,0,1,0.0,10,13,0.77
3412,LOUD (1),bind,1,0,1,0.0,7,13,0.54
1079,Sentinels,split,1,0,1,0.0,11,13,0.85
99,FURIA,split,1,0,1,0.0,6,13,0.46
96,G2 Esports,abyss,1,1,0,100.0,13,7,1.86
81,MIBR (1),split,1,0,1,0.0,7,13,0.54
1079,Sentinels,pearl,1,0,1,0.0,8,13,0.62
96,G2 Esports,icebox,1,1,0,100.0,13,5,2.6
1611,Leviatán Esports,ascent,1,0,1,0.0,11,13,0.85
96,G2 Esports,breeze,1,0,1,0.0,7,13,0.54
48457,KRÜ Esports,sunset,1,1,0,100.0,13,8,1.63
79,Cloud9,bind,1,0,1,0.0,11,13,0.85
96,G2 Esports,icebox,1,1,0,100.0,13,8,1.63
96,G2 Esports,,2,2,0,100.0,,,
96,G2 Esports,pearl,1,1,0,100.0,16,14,1.14
96,G2 Esports,lotus,1,1,0,100.0,15,13,1.15
337,100 Thieves,,2,2,0,100.0,,,
1079,Sentinels,pearl,1,1,0,100.0,13,5,2.6
1611,Leviatán Esports,haven,1,0,1,0.0,7,13,0.54
48457,KRÜ Esports,sunset,1,0,1,0.0,4,13,0.31
337,100 Thieves,abyss,1,0,1,0.0,10,13,0.77
1079,Sentinels,,2,2,0,100.0,,,
96,G2 Esports,split,1,1,0,100.0,13,5,2.6
97,NRG,ascent,1,1,0,100.0,13,3,4.33
1611,Leviatán Esports,lotus,1,1,0,100.0,14,12,1.17
79,Cloud9,,2,2,0,100.0,,,
53367,2GAME eSports,,3,2,1,66.7,,,
81,MIBR (1),lotus,1,0,1,0.0,8,13,0.62
81,MIBR,lotus,1,0,1,0.0,10,13,0.77
79,Cloud9,sunset,1,0,1,0.0,7,13,0.54
337,100 Thieves,lotus,1,0,1,0.0,5,13,0.38
1079,Sentinels,sunset,1,1,0,100.0,13,8,1.63
79,Cloud9,abyss,1,0,1,0.0,8,13,0.62
48457,KRÜ Esports,,3,2,1,66.7,,,
1079,Sentinels,split,1,1,0,100.0,13,6,2.17
79,Cloud9,split,1,1,0,100.0,13,4,3.25
79,Cloud9,bind,1,0,1,0.0,7,13,0.54
96,G2 Esports,lotus,1,0,1,0.0,9,13,0.69
96,G2 Esports,icebox,1,0,1,0.0,4,13,0.31
48457,KRÜ Esports,icebox,1,0,1,0.0,11,13,0.85
1079,Sentinels,lotus,1,1,0,100.0,13,7,1.86
96,G2 Esports,split,1,1,0,100.0,13,9,1.44
1079,Sentinels,,3,2,1,66.7,,,
79,Cloud9,lotus,1,0,1,0.0,6,13,0.46
79,Cloud9,pearl,1,1,0,100.0,13,9,1.44
97,NRG,pearl,1,1,0,100.0,13,2,6.5
96,G2 Esports,icebox,1,1,0,100.0,13,5,2.6
1611,Leviatán Esports,haven,1,1,0,100.0,16,14,1.14
281,Evil Geniuses,bind,1,1,0,100.0,13,5,2.6
1079,Sentinels,,2,2,0,100.0,,,
79,Cloud9,icebox,1,0,1,0.0,7,13,0.54
96,G2 Esports,haven,1,1,0,100.0,13,5,2.6
99,FURIA,icebox,1,0,1,0.0,0,13,0.0
81,MIBR (1),ascent,1,0,1,0.0,1,13,0.08
337,100 Thieves,sunset,1,1,0,100.0,13,4,3.25
48457,KRÜ Esports,sunset,1,1,0,100.0,13,6,2.17
99,FURIA,breeze,1,0,1,0.0,10,13,0.77
79,Cloud9,ascent,1,0,1,0.0,12,14,0.86
337,100 Thieves,pearl,1,0,1,0.0,9,13,0.69
99,FURIA,,2,0,2,0.0,,,
81,MIBR (1),lotus,1,0,1,0.0,7,13,0.54
81,MIBR (1),pearl,1,1,0,100.0,21,19,1.11
337,100 Thieves,bind,1,1,0,100.0,13,3,4.33
48457,KRÜ Esports,breeze,1,1,0,100.0,13,7,1.86
79,Cloud9,lotus,1,0,1,0.0,9,13,0.69
97,NRG,bind,1,0,1,0.0,4,13,0.31
1079,Sentinels,,2,0,2,0.0,,,
79,Cloud9,,3,2,1,66.7,,,
48457,KRÜ Esports,,2,0,2,0.0,,,
281,Evil Geniuses,pearl,1,1,0,100.0,14,12,1.17
281,Evil Geniuses,split,1,1,0,100.0,13,11,1.18
96,G2 Esports,ascent,1,1,0,100.0,13,8,1.63
79,Cloud9,split,1,1,0,100.0,13,8,1.63
99,FURIA,pearl,1,0,1,0.0,5,13,0.38
97,NRG,haven,1,0,1,0.0,6,13,0.46
48457,KRÜ Esports,ascent,1,0,1,0.0,10,13,0.77
1611,Leviatán Esports,ascent,1,1,0,100.0,13,4,3.25
3412,LOUD (1),lotus,1,0,1,0.0,11,13,0.85
3412,LOUD (1),sunset,1,1,0,100.0,13,9,1.44
1611,Leviatán Esports,lotus,1,0,1,0.0,11,13,0.85
96,G2 Esports,sunset,1,1,0,100.0,13,11,1.18
79,Cloud9,bind,1,1,0,100.0,13,4,3.25
337,100 Thieves,sunset,1,0,1,0.0,10,13,0.77
1079,Sentinels,haven,1,0,1,0.0,10,13,0.77
1611,Leviatán Esports,breeze,1,0,1,0.0,7,13,0.54
1079,Sentinels,sunset,1,0,1,0.0,10,13,0.77
96,G2 Esports,haven,1,1,0,100.0,13,9,1.44
