team_id,map_name,side,win_type,count,percentage
97,ascent,defender,bombDefused,8,17.4
1611,lotus,defender,bombDefused,31,21.5
1611,lotus,defender,opponentEliminated,35,24.3
1611,lotus,attacker,bombExploded,16,11.1
1611,lotus,defender,timeExpired,4,2.8
1611,lotus,attacker,opponentEliminated,58,40.3
1611,pearl,attacker,opponentEliminated,2,15.4
1611,pearl,attacker,bombExploded,3,23.1
1611,pearl,defender,opponentEliminated,5,38.5
1611,pearl,defender,bombDefused,3,23.1
281,bind,defender,timeExpired,1,3.8
281,bind,attacker,opponentEliminated,17,65.4
281,bind,defender,opponentEliminated,3,11.5
281,bind,attacker,bombExploded,3,11.5
281,bind,defender,bombDefused,2,7.7
3412,sunset,defender,opponentEliminated,9,20.5
3412,sunset,defender,bombDefused,11,25.0
3412,sunset,defender,timeExpired,1,2.3
3412,sunset,attacker,opponentEliminated,18,40.9
3412,sunset,attacker,bombExploded,5,11.4
53367,sunset,defender,opponentEliminated,5,38.5
53367,sunset,attacker,opponentEliminated,6,46.2
53367,sunset,defender,bombDefused,1,7.7
53367,sunset,attacker,bombExploded,1,7.7
81,sunset,defender,bombDefused,7,16.3
81,sunset,attacker,opponentEliminated,21,48.8
81,sunset,attacker,bombExploded,3,7.0
81,sunset,defender,timeExpired,3,7.0
81,sunset,defender,opponentEliminated,9,20.9
96,abyss,attacker,bombExploded,8,16.7
96,abyss,attacker,opponentEliminated,16,33.3
96,abyss,defender,bombDefused,20,41.7
96,abyss,defender,opponentEliminated,4,8.3
97,breeze,attacker,bombExploded,6,11.5
97,breeze,attacker,opponentEliminated,18,34.6
97,breeze,defender,bombDefused,8,15.4
97,breeze,defender,opponentEliminated,20,38.5
281,haven,attacker,opponentEliminated,2,50.0
281,haven,defender,bombDefused,2,50.0
3412,ascent,attacker,bombExploded,5,11.6
3412,ascent,defender,opponentEliminated,14,32.6
3412,ascent,defender,bombDefused,12,27.9
3412,ascent,attacker,opponentEliminated,10,23.3
3412,ascent,defender,timeExpired,2,4.7
53367,ascent,defender,timeExpired,1,5.9
53367,ascent,attacker,bombExploded,1,5.9
