series_id,tournament_id,tournament_name,stage,start_time_scheduled,started_at,updated_at,finished,best_of,team1_id,team1_name,team2_id,team2_name,winner_team_id,loser_team_id,team1_score,team2_score,has_depth4_data,depth_level
2653980,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-21 02:00:00,2024-04-21 01:50:10.084,2024-04-21 04:01:31.596,true,2,1079,Sentinels,81,MIBR (1),1079,81,2,0,true,4
2653981,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-21 05:00:00,2024-04-21 04:22:43.341,2024-04-21 07:22:54.733,true,3,79,Cloud9,3412,LOUD (1),79,3412,2,1,true,4
2653982,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-22 02:00:00,2024-04-22 01:50:15.497,2024-04-22 03:47:20.595,true,2,48457,KRÜ Esports,281,Evil Geniuses,48457,281,2,0,true,4
2653983,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-22 05:00:00,2024-04-22 04:06:59.237,2024-04-22 05:40:51.917,true,2,97,NRG,1611,Leviatán Esports,1611,97,0,2,true,4
2653984,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-23 02:00:00,2024-04-23 01:49:54.725,2024-04-23 03:33:02.44,true,2,96,G2 Esports,99,FURIA,96,99,2,0,true,4
2653985,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-23 05:00:00,2024-04-23 03:55:07.155,2024-04-23 05:41:00.455,true,2,79,Cloud9,337,100 Thieves,337,79,0,2,true,4
2653986,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-24 02:00:00,2024-04-24 01:50:23.231,2024-04-24 05:10:49.013,true,3,1079,Sentinels,281,Evil Geniuses,281,1079,1,2,true,4
2653987,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-24 05:00:00,2024-04-24 05:30:42.761,2024-04-24 07:30:46.772,true,2,97,NRG,81,MIBR (1),97,81,2,0,true,4
2653988,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-25 02:00:00,2024-04-25 01:50:50.362,2024-04-25 04:46:10.966,true,3,96,G2 Esports,1611,Leviatán Esports,1611,96,1,2,true,4
2653989,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-25 05:00:00,,,true,2,48457,KRÜ Esports,3412,LOUD (1),48457,3412,2,0,false,2
2653990,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-28 02:00:00,,,true,2,96,G2 Esports,81,MIBR (1),96,81,2,0,false,2
2653991,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-28 05:00:00,,,true,2,1079,Sentinels,3412,LOUD (1),3412,1079,0,2,false,2
2653992,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-29 02:00:00,,,true,3,79,Cloud9,99,FURIA,79,99,2,1,false,2
2653993,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-29 05:00:00,,,true,3,97,NRG,281,Evil Geniuses,281,97,1,2,false,2
2653994,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-04-30 02:00:00,,,true,3,48457,KRÜ Esports,337,100 Thieves,48457,337,2,1,false,2
2653995,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-05-04 05:00:00,,,true,2,1079,Sentinels,99,FURIA,1079,99,2,0,false,2
2653996,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-05-05 02:00:00,,,true,2,97,NRG,337,100 Thieves,337,97,0,2,false,2
2653997,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-05-05 05:00:00,,,true,3,48457,KRÜ Esports,1611,Leviatán Esports,1611,48457,1,2,false,2
2653998,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-05-06 02:00:00,,,true,2,79,Cloud9,81,MIBR (1),79,81,2,0,false,2
2653999,758114,VCT Americas - Stage 1 2024 (Regular Season: Alpha Group),Regular Season: Alpha Group,2024-05-06 05:00:00,2024-05-06 04:22:38.538,2024-05-06 06:14:26.636,true,2,96,G2 Esports,3412,LOUD (1),3412,96,0,2,true,4
2775983,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-04-25 02:00:00,2025-04-25 01:54:03.892,2025-04-25 03:48:39.773,true,2,81,MIBR (1),337,100 Thieves,81,337,2,0,true,4
2775984,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-04-25 05:00:00,2025-04-25 04:05:25.633,2025-04-25 06:42:20.359,true,2,1079,Sentinels,79,Cloud9,1079,79,2,0,true,4
2775985,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-04-26 02:00:00,2025-04-26 01:52:58.964,2025-04-26 03:50:13.68,true,2,337,100 Thieves,97,NRG,337,97,2,0,true,4
2775986,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-04-26 05:00:00,2025-04-26 04:06:29.608,2025-04-26 06:19:41.17,true,2,79,Cloud9,281,Evil Geniuses,281,79,0,2,true,4
2775987,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-04-27 02:00:00,2025-04-27 01:53:38.687,2025-04-27 03:39:36.463,true,2,81,MIBR (1),48457,KRÜ Esports,81,48457,2,0,true,4
2775988,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-04-27 05:00:00,2025-04-27 03:58:46.46,2025-04-27 07:03:43.355,true,3,1079,Sentinels,96,G2 Esports,1079,96,2,1,true,4
2775989,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-04-28 02:00:00,2025-04-28 01:54:02.203,2025-04-28 04:17:40.319,true,2,48457,KRÜ Esports,281,Evil Geniuses,281,48457,0,2,true,4
2775990,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-04-28 05:00:00,2025-04-28 04:35:43.338,2025-04-28 07:56:40.219,true,3,96,G2 Esports,337,100 Thieves,96,337,2,1,true,4
2775991,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-05-03 02:00:00,2025-05-03 01:53:14.939,2025-05-03 04:26:27.371,true,2,1079,Sentinels,81,MIBR (1),1079,81,2,0,true,4
2775992,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-05-03 05:00:00,2025-05-03 04:43:03.091,2025-05-03 07:48:32.894,true,3,281,Evil Geniuses,96,G2 Esports,96,281,1,2,true,4
2775993,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-05-04 02:00:00,2025-05-04 01:54:49.718,2025-05-04 06:16:00.232,true,4,96,G2 Esports,81,MIBR (1),96,81,3,1,true,4
2775994,800680,VCT Americas - Stage 1 2025 (Playoffs: Playoffs),Playoffs: Playoffs,2025-05-05 02:00:00,2025-05-05 01:53:05.611,2025-05-05 06:13:10.028,true,4,96,G2 Esports,1079,Sentinels,96,1079,3,1,true,4
2775954,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-03-22 05:00:00,2025-03-22 05:25:21.614,2025-03-22 08:05:46.129,true,3,48457,KRÜ Esports,3412,LOUD (1),48457,3412,2,1,true,4
2775957,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-03-24 02:00:00,,,true,2,53367,2GAME eSports,281,Evil Geniuses,281,53367,0,2,false,2
2775958,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-03-24 05:00:00,,,true,3,1079,Sentinels,337,100 Thieves,1079,337,2,1,false,2
2775960,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-03-29 05:00:00,,,true,2,1079,Sentinels,48457,KRÜ Esports,48457,1079,0,2,false,2
2775961,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-03-30 02:00:00,,,true,2,337,100 Thieves,281,Evil Geniuses,337,281,2,0,false,2
2775963,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-03-31 02:00:00,,,true,2,3412,LOUD (1),53367,2GAME eSports,53367,3412,0,2,false,2
2775966,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-04-05 05:00:00,,,true,3,337,100 Thieves,3412,LOUD (1),337,3412,2,1,false,2
2775967,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-04-06 02:00:00,,,true,3,53367,2GAME eSports,48457,KRÜ Esports,48457,53367,1,2,false,2
2775971,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-04-12 02:00:00,,,true,2,337,100 Thieves,53367,2GAME eSports,337,53367,2,0,false,2
2775974,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-04-13 05:00:00,,,true,3,1079,Sentinels,3412,LOUD (1),1079,3412,2,1,false,2
2775975,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-04-14 02:00:00,,,true,2,48457,KRÜ Esports,281,Evil Geniuses,281,48457,0,2,false,2
2775979,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-04-20 02:00:00,2025-04-20 01:59:14.619,2025-04-20 03:49:42.091,true,2,1079,Sentinels,53367,2GAME eSports,1079,53367,2,0,true,4
2775980,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-04-20 05:00:00,2025-04-20 04:23:34.617,2025-04-20 06:13:26.018,true,2,48457,KRÜ Esports,337,100 Thieves,48457,337,2,0,true,4
2775981,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-04-21 02:00:00,2025-04-21 01:58:25.701,2025-04-21 05:34:58.929,true,3,281,Evil Geniuses,3412,LOUD (1),281,3412,2,1,true,4
2789396,800678,VCT Americas - Stage 1 2025 (Regular Season: Group A),Regular Season: Group A,2025-04-05 02:20:00,2025-04-05 01:54:07.148,2025-04-08 02:03:00.863,true,2,281,Evil Geniuses,1079,Sentinels,1079,281,0,2,true,4
2775953,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-03-22 02:00:00,2025-03-22 02:00:13.201,2025-03-22 05:00:27.126,true,3,79,Cloud9,97,NRG,79,97,2,1,true,4
2775955,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-03-23 02:00:00,2025-03-23 01:54:25.111,2025-03-23 03:57:54.214,true,2,96,G2 Esports,99,FURIA,96,99,2,0,true,4
2775956,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-03-23 05:00:00,2025-03-23 04:27:31.353,2025-03-23 06:20:06.854,true,2,1611,Leviatán Esports,81,MIBR (1),81,1611,0,2,true,4
2775959,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-03-29 02:00:00,2025-03-29 01:52:58.755,2025-03-29 04:32:06.717,true,3,97,NRG,99,FURIA,97,99,2,1,true,4
2775962,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-03-30 05:00:00,2025-03-30 04:08:47.905,2025-03-30 07:33:27.764,true,3,96,G2 Esports,81,MIBR (1),96,81,2,1,true,4
2775964,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-03-31 05:00:00,2025-03-31 04:41:21.564,2025-03-31 06:28:05.598,true,2,79,Cloud9,1611,Leviatán Esports,79,1611,2,0,true,4
2775968,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-04-06 05:00:00,2025-04-06 05:05:36.499,2025-04-06 06:40:04.645,true,2,96,G2 Esports,97,NRG,96,97,2,0,true,4
2775969,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-04-07 02:00:00,2025-04-07 01:56:45.361,2025-04-07 03:38:40.759,true,2,99,FURIA,1611,Leviatán Esports,1611,99,0,2,true,4
2775970,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-04-07 05:00:00,2025-04-07 04:12:01.431,2025-04-07 07:29:33.824,true,3,79,Cloud9,81,MIBR (1),81,79,1,2,true,4
2775972,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-04-12 05:00:00,2025-04-12 04:18:21.343,2025-04-12 07:20:35.445,true,3,1611,Leviatán Esports,96,G2 Esports,96,1611,1,2,true,4
2775973,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-04-13 02:00:00,2025-04-13 01:54:40.624,2025-04-13 03:56:57.849,true,2,99,FURIA,79,Cloud9,79,99,0,2,true,4
2775976,800677,VCT Americas - Stage 1 2025 (Regular Season: Group B),Regular Season: Group B,2025-04-14 05:00:00,2025-04-14 04:03:17.83,2025-04-14 05:44:34.615,true,2,97,NRG,81,MIBR (1),81,97,0,2,true,4
