id,game_id,series_id,player_id,player_name,team_id,agent,final_money,final_loadout_value,final_net_worth,total_kills,total_deaths,total_assists,total_headshots
df33ba86-e9fe-423e-8e44-206002633674_10636,df33ba86-e9fe-423e-8e44-206002633674,2629401,10636,OXY,79,yoru,350,300,650,21,16,14,15
df33ba86-e9fe-423e-8e44-206002633674_91,df33ba86-e9fe-423e-8e44-206002633674,2629401,91,vanity,79,skye,400,1250,1650,23,16,9,17
df33ba86-e9fe-423e-8e44-206002633674_706,df33ba86-e9fe-423e-8e44-206002633674,2629401,706,wippie,79,viper,500,500,1000,15,16,9,13
df33ba86-e9fe-423e-8e44-206002633674_1193,df33ba86-e9fe-423e-8e44-206002633674,2629401,1193,xeppaa,79,raze,700,200,900,14,16,2,7
03babb80-c970-443f-a21f-f7a4370a23ad_1814,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,1814,rglmeister,81,omen,450,4400,4850,21,14,10,18
03babb80-c970-443f-a21f-f7a4370a23ad_59,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,59,frz,81,cypher,0,3300,3300,17,11,6,21
03babb80-c970-443f-a21f-f7a4370a23ad_266,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,266,mazin,81,viper,550,3100,3650,11,14,3,11
03babb80-c970-443f-a21f-f7a4370a23ad_2641,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,2641,jzz,81,skye,550,400,950,24,15,13,18
03babb80-c970-443f-a21f-f7a4370a23ad_2837,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,2837,artziN,81,jett,0,5200,5200,17,16,12,10
03babb80-c970-443f-a21f-f7a4370a23ad_11969,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,11969,jakee,79,omen,5600,500,6100,20,15,14,18
03babb80-c970-443f-a21f-f7a4370a23ad_10636,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,10636,OXY,79,jett,2150,450,2600,8,22,2,8
03babb80-c970-443f-a21f-f7a4370a23ad_91,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,91,vanity,79,sova,400,300,700,13,19,9,11
03babb80-c970-443f-a21f-f7a4370a23ad_706,03babb80-c970-443f-a21f-f7a4370a23ad,2629401,706,wippie,79,killjoy,2200,0,2200,10,17,7,11
