id,game_id,series_id,map_name,team_id,team_name,agent,agent_role,player_id,player_name
dadd1796-2cb3-419b-814b-1260cea71822_3412_breach,dadd1796-2cb3-419b-814b-1260cea71822,2629392,split,3412,LOUD,breach,Initiator,1812,cauanzin
dadd1796-2cb3-419b-814b-1260cea71822_3412_skye,dadd1796-2cb3-419b-814b-1260cea71822,2629392,split,3412,LOUD,skye,Initiator,58,Saadhak
dadd1796-2cb3-419b-814b-1260cea71822_3412_viper,dadd1796-2cb3-419b-814b-1260cea71822,2629392,split,3412,LOUD,viper,Controller,28,Less
dadd1796-2cb3-419b-814b-1260cea71822_3412_omen,dadd1796-2cb3-419b-814b-1260cea71822,2629392,split,3412,LOUD,omen,Controller,272,tuyz
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_1079_omen,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,1079,Sentinels,omen,Controller,90,TenZ
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_1079_kay/o,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,1079,Sentinels,kay/o,Initiator,94,Zellsis
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_1079_killjoy,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,1079,Sentinels,killjoy,Sentinel,2512,johnqt
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_1079_jett,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,1079,Sentinels,jett,Duelist,287,zekken
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_1079_sova,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,1079,Sentinels,sova,Initiator,3260,Sacy
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_3412_phoenix,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,3412,LOUD,phoenix,Duelist,50,qck1
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_3412_breach,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,3412,LOUD,breach,Initiator,1812,cauanzin
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_3412_kay/o,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,3412,LOUD,kay/o,Initiator,58,Saadhak
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0_3412_viper,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,3412,LOUD,viper,Controller,28,Less
