team_id,team_name,map_name,agent,agent_role,times_picked,unique_players
53367,2GAME eSports,sunset,neon,Duelist,1,1
48457,KRÜ Esports,ascent,cypher,Sentinel,3,1
337,100 Thieves,corrode,omen,Controller,1,1
97,NRG,breeze,sova,Initiator,4,1
97,NRG,ascent,killjoy,Sentinel,2,1
81,MIBR,ascent,cypher,Sentinel,1,1
96,G2 Esports,breeze,yoru,Duelist,4,2
281,Evil Geniuses,pearl,vyse,Sentinel,4,1
81,MIBR (1),lotus,killjoy,Sentinel,3,3
81,MIBR (1),lotus,omen,Controller,10,4
81,MIBR (1),bind,deadlock,Sentinel,1,1
81,MIBR (1),bind,cypher,Sentinel,1,1
53367,2GAME eSports,lotus,tejo,Initiator,1,1
79,Cloud9,fracture,raze,Duelist,1,1
79,Cloud9,fracture,killjoy,Sentinel,1,1
97,NRG,lotus,fade,Initiator,4,2
1079,Sentinels,abyss,omen,Controller,3,1
81,MIBR (1),lotus,jett,Duelist,1,1
96,G2 Esports,haven,breach,Initiator,8,1
96,G2 Esports,lotus,raze,Duelist,9,1
96,G2 Esports,ascent,jett,Duelist,6,1
3412,LOUD (1),bind,kay/o,Initiator,3,1
48457,KRÜ Esports,icebox,viper,Controller,11,1
1611,Leviatán Esports,sunset,gekko,Initiator,3,1
96,G2 Esports,bind,gekko,Initiator,7,1
48457,KRÜ Esports,lotus,viper,Controller,8,3
48457,KRÜ Esports,sunset,cypher,Sentinel,6,1
337,100 Thieves,breeze,viper,Controller,1,1
337,100 Thieves,breeze,kay/o,Initiator,1,1
281,Evil Geniuses,lotus,cypher,Sentinel,6,1
48457,KRÜ Esports,breeze,jett,Duelist,2,1
48457,KRÜ Esports,breeze,viper,Controller,2,1
48457,KRÜ Esports,breeze,kay/o,Initiator,2,1
81,MIBR (1),sunset,cypher,Sentinel,5,3
1079,Sentinels,ascent,tejo,Initiator,3,1
337,100 Thieves,haven,sova,Initiator,7,1
337,100 Thieves,pearl,yoru,Duelist,1,1
281,Evil Geniuses,split,breach,Initiator,2,1
3412,LOUD (1),fracture,brimstone,Controller,1,1
3412,LOUD (1),fracture,breach,Initiator,1,1
48457,KRÜ Esports,haven,tejo,Initiator,1,1
53367,2GAME eSports,pearl,astra,Controller,1,1
99,FURIA,ascent,yoru,Duelist,2,1
79,Cloud9,haven,jett,Duelist,5,1
1079,Sentinels,ascent,cypher,Sentinel,2,2
337,100 Thieves,abyss,sova,Initiator,1,1
337,100 Thieves,abyss,jett,Duelist,1,1
99,FURIA,bind,fade,Initiator,1,1
3412,LOUD (1),haven,viper,Controller,1,1
96,G2 Esports,haven,fade,Initiator,2,1
1079,Sentinels,icebox,sova,Initiator,2,1
97,NRG,corrode,sova,Initiator,2,1
97,NRG,sunset,sova,Initiator,3,1
281,Evil Geniuses,sunset,kay/o,Initiator,1,1
281,Evil Geniuses,sunset,jett,Duelist,1,1
53367,2GAME eSports,sunset,omen,Controller,1,1
81,MIBR (1),corrode,raze,Duelist,1,1
81,MIBR (1),corrode,yoru,Duelist,1,1
337,100 Thieves,corrode,yoru,Duelist,1,1
3412,LOUD (1),corrode,fade,Initiator,1,1
3412,LOUD (1),corrode,neon,Duelist,1,1
99,FURIA,ascent,kay/o,Initiator,3,2
97,NRG,ascent,sova,Initiator,4,2
99,FURIA,split,jett,Duelist,1,1
