game_id,series_id,sequence_number,map_name,team1_id,team1_name,team2_id,team2_name,team1_score,team2_score,winner_team_id,team1_start_side,started,finished,total_rounds
0ec5e952-b03f-4aec-92c4-8bc253c51177,2775980,1,fracture,48457,KRÜ Esports,337,100 Thieves,13,10,48457,attacker,true,true,23
e763903a-caf9-4bca-a999-691d1feae31c,2775980,2,icebox,48457,KRÜ Esports,337,100 Thieves,13,9,48457,attacker,true,true,22
84fc0c04-1c1e-47f1-8865-52a48f864a3b,2775981,1,lotus,281,Evil Geniuses,3412,LOUD (1),11,13,3412,attacker,true,true,24
df086c97-482f-4af5-8575-e667403e9a55,2775981,2,pearl,281,Evil Geniuses,3412,LOUD (1),14,12,281,attacker,true,true,26
08c5bf4e-f883-405a-b2c2-d5661c9f3e14,2775981,3,split,281,Evil Geniuses,3412,LOUD (1),13,11,281,attacker,true,true,24
4d2f9f28-398f-438c-8d2f-46a430c8b10f,2789396,1,haven,281,Evil Geniuses,1079,Sentinels,4,13,1079,defender,true,true,17
38e746ea-9f0c-4287-bd52-921eeb66afda,2789396,2,pearl,281,Evil Geniuses,1079,Sentinels,6,13,1079,attacker,true,true,19
8eea6ab2-3dc4-4fe1-9f01-028b0b8589bd,2775953,1,lotus,79,Cloud9,97,NRG,6,13,97,attacker,true,true,19
b290b828-6dde-4978-9b99-c0e78ae0c77a,2775953,2,fracture,79,Cloud9,97,NRG,13,5,79,defender,true,true,18
47f8d2db-a64b-4698-b865-c7b790591149,2775953,3,pearl,79,Cloud9,97,NRG,13,9,79,defender,true,true,22
03d68365-f62c-473c-95a1-4aa1dff0367c,2775955,1,lotus,96,G2 Esports,99,FURIA,13,10,96,defender,true,true,23
102b780b-de11-4049-a334-8069daaa8aef,2775955,2,ascent,96,G2 Esports,99,FURIA,13,7,96,attacker,true,true,20
eb7b4a14-e70c-47a6-8ab4-443ed2c65bae,2775956,1,split,1611,Leviatán Esports,81,MIBR (1),7,13,81,defender,true,true,20
3726169b-07ea-4aa3-83df-3b33c0fec447,2775956,2,icebox,1611,Leviatán Esports,81,MIBR (1),8,13,81,attacker,true,true,21
da064a14-63df-4d60-b0cd-2268fd677294,2775959,1,lotus,97,NRG,99,FURIA,10,13,99,defender,true,true,23
43d9c878-46e0-45ba-aad2-1404129d1823,2775959,2,pearl,97,NRG,99,FURIA,13,2,97,attacker,true,true,15
393de77c-90eb-438e-9486-639ff2bf41aa,2775959,3,fracture,97,NRG,99,FURIA,13,4,97,attacker,true,true,17
51156eaa-c25e-4901-95d2-1f5f7e3f0fbc,2775962,1,pearl,96,G2 Esports,81,MIBR (1),12,14,81,defender,true,true,26
cb5e350e-e18a-426b-bfbe-90603d72f1c9,2775962,2,haven,96,G2 Esports,81,MIBR (1),13,11,96,defender,true,true,24
c107f7a8-39a2-478d-92d7-afc4e89a7f1c,2775962,3,ascent,96,G2 Esports,81,MIBR (1),13,8,96,attacker,true,true,21
5f27f062-7d66-4598-8ebd-2fe9fef9f7c2,2775964,1,split,79,Cloud9,1611,Leviatán Esports,13,8,79,attacker,true,true,21
