team_id,map_name,is_pistol_round,weapon_name,total_kills,games_with_weapon
337,pearl,true,classic,5,1
1611,haven,false,classic,24,10
99,haven,false,outlaw,3,2
1611,split,false,ghost,6,2
96,lotus,true,classic,60,16
79,abyss,false,shorty,1,1
96,abyss,false,shorty,2,2
1079,abyss,false,phantom,39,3
1079,abyss,false,sheriff,2,1
96,pearl,false,bulldog,27,7
96,pearl,true,classic,35,6
48457,bind,false,phantom,109,4
48457,bind,false,sheriff,10,4
48457,bind,false,outlaw,7,3
81,abyss,false,operator,6,2
81,abyss,true,classic,1,1
48457,split,false,judge,3,2
1079,abyss,false,outlaw,3,2
96,abyss,true,classic,6,2
96,fracture,true,ghost,11,2
96,lotus,false,ghost,12,7
96,ascent,false,stinger,88,13
3412,bind,false,sheriff,22,6
3412,bind,false,phantom,83,6
48457,ascent,false,vandal,223,7
337,sunset,false,bucky,1,1
337,sunset,false,guardian,8,6
48457,lotus,false,sheriff,25,10
48457,lotus,false,phantom,96,10
1611,icebox,false,frenzy,4,2
48457,sunset,true,ghost,31,6
1611,breeze,true,ghost,6,2
1611,ascent,false,ghost,4,2
337,breeze,false,vandal,39,1
79,icebox,false,guardian,24,6
281,lotus,false,classic,15,8
281,icebox,false,vandal,155,5
1079,icebox,false,spectre,1,1
1079,icebox,false,classic,1,1
48457,breeze,false,classic,1,1
1611,lotus,false,shorty,5,5
81,icebox,false,sheriff,48,11
81,icebox,true,sheriff,33,10
81,icebox,false,phantom,114,10
81,sunset,false,judge,1,1
281,lotus,false,spectre,13,4
97,bind,true,ghost,20,4
281,bind,false,phantom,70,2
281,bind,false,sheriff,3,2
281,sunset,false,bulldog,12,4
1079,sunset,false,bulldog,8,2
81,icebox,false,outlaw,13,4
79,pearl,false,vandal,104,5
337,fracture,false,ghost,6,2
337,haven,true,ghost,34,7
97,haven,true,classic,2,1
337,haven,false,phantom,127,7
97,haven,false,shorty,4,3
337,haven,false,sheriff,16,6
281,fracture,false,stinger,1,1
281,pearl,false,sheriff,10,3
96,pearl,false,melee,1,1
3412,fracture,true,classic,2,1
3412,haven,true,classic,3,2
48457,haven,false,classic,9,6
48457,split,false,operator,4,1
281,pearl,false,outlaw,1,1
97,pearl,false,bucky,1,1
97,pearl,false,guardian,7,2
99,pearl,false,phantom,24,3
99,pearl,false,sheriff,3,2
99,fracture,false,vandal,15,1
81,pearl,true,frenzy,1,1
99,pearl,true,sheriff,2,2
79,haven,true,classic,18,5
1611,fracture,false,classic,10,2
48457,sunset,false,stinger,5,3
48457,sunset,false,frenzy,6,3
48457,lotus,false,outlaw,1,1
1611,abyss,false,guardian,4,1
99,haven,true,vandal,7,1
99,bind,true,frenzy,2,2
3412,ascent,false,outlaw,5,1
1611,bind,false,odin,1,1
3412,bind,false,outlaw,3,1
3412,icebox,true,classic,1,1
81,sunset,false,operator,4,2
