series_id,ingested_at,source_path,depth_level,games_count,rounds_count,status,error_message
2775969,2026-01-20 21:33:11.490889,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775969,4,2,3909,success,
2775970,2026-01-20 21:33:21.253621,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775970,4,3,3983,success,
2775972,2026-01-20 21:33:30.208032,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775972,4,3,4050,success,
2775973,2026-01-20 21:33:36.118215,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775973,4,2,4094,success,
2775976,2026-01-20 21:33:41.145307,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775976,4,2,4131,success,
2775977,2026-01-20 21:33:49.275975,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775977,4,3,4190,success,
2775978,2026-01-20 21:33:58.827296,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775978,4,3,4249,success,
2775982,2026-01-20 21:34:05.594734,e:\work\hackathon\data\valorant\VCT Americas - Stage 1 2025 [Regular Season_ Group B]\2775982,4,2,4298,success,
2681840,2026-01-20 21:34:14.357713,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Playoffs_ Playoffs]\2681840,4,3,4365,success,
2681841,2026-01-20 21:34:20.202157,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Playoffs_ Playoffs]\2681841,4,2,4408,success,
2681842,2026-01-20 21:34:24.58597,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Playoffs_ Playoffs]\2681842,4,2,4440,success,
2681843,2026-01-20 21:34:30.130316,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Playoffs_ Playoffs]\2681843,4,2,4481,success,
2681844,2026-01-20 21:34:35.522837,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Playoffs_ Playoffs]\2681844,4,2,4521,success,
2681845,2026-01-20 21:34:44.823582,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Playoffs_ Playoffs]\2681845,4,3,4591,success,
2681846,2026-01-20 21:34:59.490711,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Playoffs_ Playoffs]\2681846,4,5,4697,success,
2681847,2026-01-20 21:35:14.689345,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Playoffs_ Playoffs]\2681847,4,4,4794,success,
2681809,2026-01-20 21:35:20.51351,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681809,4,2,4836,success,
2681811,2026-01-20 21:35:28.020335,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681811,4,2,4892,success,
2681812,2026-01-20 21:35:36.177743,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681812,4,3,4954,success,
2681817,2026-01-20 21:35:41.1689,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681817,4,2,4989,success,
2681819,2026-01-20 21:35:51.848079,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681819,4,3,5055,success,
2681820,2026-01-20 21:35:57.627138,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2024 [Regular Season_ Group A]\2681820,4,2,5095,success,
